"","Invoice.Item.Number","Date","Store.Number","Store.Name","Address","City","Zip.Code","Store.Location","County.Number","County","Category","Category.Name","Vendor.Number","Vendor.Name","Item.Number","Item.Description","Pack","Bottle.Volume..ml.","State.Bottle.Cost","State.Bottle.Retail","Bottles.Sold","Sale..Dolars.","Volume.Sold..Liters.","Volume.Sold..Gallons."
"1","S27407400005","2015-08-19T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1011300,"TENNESSEE WHISKIES",85,"Brown-Forman Corporation",26821,"Jack Daniels Old #7 Black Lbl Mini",12,500,9.06,13.59,1,13.59,0.5,0.13208602617
"2","S07743200026","2012-09-17T00:00:00.000",3524,"Sam's Club 6568 / Ames","305 AIRPORT RD","AMES",50010,"305 AIRPORT RD
AMES 50010
(-93.61365, 42.001123)",85,"Story",1011500,"STRAIGHT RYE WHISKIES",255,"Wilson Daniels Ltd.",27102,"Templeton Rye",6,750,18.08,27.13,6,162.78,4.5,1.18877423561
"3","S03538200068","2012-01-12T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1081340,"ROOT BEER SCHNAPPS",380,"Phillips Beverage Company",84617,"Phillips Root Beer Schnapps",12,1000,4.89,7.33,6,43.98,6,1.58503231414
"4","S18598700064","2014-04-23T00:00:00.000",4987,"Almost Always Open","419 LINCOLN WAY","AMES",50010,"419 LINCOLN WAY
AMES 50010
(-93.616517, 42.022916)",85,"Story",1081200,"CREAM LIQUEURS",260,"Diageo Americas",68036,"Bailey's Original Irish Cream",12,750,13,19.49,3,58.47,2.25,0.5943871178
"5","S29016200248","2015-11-11T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1081900,"MISC. AMERICAN CORDIALS & LIQUEURS",434,"Luxco-St Louis",76526,"Paramount Melon Liqueur",12,750,5.3,7.95,1,7.95,0.75,0.19812903926
"6","S03818000099","2012-01-31T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1032200,"IMPORTED VODKA - MISC",65,"Jim Beam Brands",35770,"Pinnacle Cherry Whipped",12,750,7.87,11.81,3,35.43,2.25,0.5943871178
"7","S04740800065","2012-03-27T00:00:00.000",4509,"A J'S LIQUOR II","2515 CHAMBERLAIN","AMES",50010,"2515 CHAMBERLAIN
AMES 50010
(-93.650965, 42.02146)",85,"Story",1041100,"AMERICAN DRY GINS",434,"Luxco-St Louis",31657,"Paramount Gin",12,1000,4.3,6.44,12,77.28,12,3.17006462829
"8","S15136000013","2013-10-15T00:00:00.000",4081,"Harlan's Food Mart","306 WASHINGTON","STORY CITY",50248,"306 WASHINGTON
STORY CITY 50248
(-93.600106, 42.185825)",85,"Story",1031080,"VODKA 80 PROOF",297,"Laird And Company",35914,"Five O'clock Vodka",24,375,1.93,2.89,24,69.36,9,2.37754847122
"9","S23726900055","2015-01-28T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1011100,"BLENDED WHISKIES",492,"Western Spirits Beverage Co. LLC",27433,"Bird Dog Peach Flavored Whiskey",6,750,10,15,6,90,4.5,1.18877423561
"10","S22595800125","2014-11-24T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1081390,"IMPORTED SCHNAPPS",260,"Diageo Americas",65066,"Goldschlager Cinnamon Schnapps",12,750,13,19.5,2,39,1.5,0.39625807853
"11","S16743900113","2014-01-08T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1051010,"AMERICAN GRAPE BRANDIES",205,"E AND J GALLO WINERY",52593,"E & J Vs Brandy",24,200,1.85,2.78,3,8.34,0.6,0.15850323141
"12","S26636600094","2015-07-08T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1031080,"VODKA 80 PROOF",297,"Laird And Company",35917,"Five O'clock Vodka",12,1000,4.17,6.26,12,75.12,12,3.17006462829
"13","S13302000019","2013-07-10T00:00:00.000",3943,"Good and Quick Co","519 LINCOLNWAY","NEVADA",50201,"519 LINCOLNWAY
NEVADA 50201
(-93.45299, 42.022712)",85,"Story",1011300,"TENNESSEE WHISKIES",85,"Brown-Forman Corporation",26823,"Jack Daniels Old #7 Black Lbl",48,200,3.93,5.9,6,35.4,1.2,0.31700646282
"14","S24352500001","2015-03-04T00:00:00.000",4437,"Kum & Go #215  Ames","4506 LINCOLN WAY","AMES",50010,"4506 LINCOLN WAY
AMES 50010
(-93.678822, 42.022905)",85,"Story",1032080,"IMPORTED VODKA",370,"Pernod Ricard USA/Austin Nichols",34006,"Absolut Swedish Vodka 80 Prf",12,750,11.49,17.24,12,206.88,9,2.37754847122
"15","S07278800032","2012-08-23T00:00:00.000",4004,"Wal-Mart 4256 / Ames","534 S DUFF AVE","AMES",50010,"534 S DUFF AVE
AMES 50010
(-93.610343, 42.017115)",85,"Story",1052010,"IMPORTED GRAPE BRANDIES",420,"Moet Hennessy USA, Inc.",48106,"Hennessy Vs Cognac",12,750,17.25,25.88,12,310.56,9,2.37754847122
"16","S11772100030","2013-04-22T00:00:00.000",4105,"Fareway Stores #426 / Nevada","1505 SOUTH B AVE","NEVADA",50201,"1505 SOUTH B AVE
NEVADA 50201
(-93.439899, 42.009797)",85,"Story",1081365,"TROPICAL FRUIT SCHNAPPS",421,"Sazerac Co., Inc.",83906,"Maui Blue Hawaiian Schnapps",12,750,3.67,5.5,2,11,1.5,0.39625807853
"17","S14492800066","2013-09-11T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1081330,"PEACH SCHNAPPS",65,"Jim Beam Brands",82849,"Dekuyper Peachtree Schnapps Pet",6,1750,11.54,17.31,6,103.86,10.5,2.77380654976
"18","S24364400007","2015-03-04T00:00:00.000",2609,"Hy-Vee Drugstore #2 / Ames","500 MAIN ST","AMES",50010,"500 MAIN ST
AMES 50010
(-93.618248, 42.024995)",85,"Story",1012200,"SCOTCH WHISKIES",55,"Sazerac North America",8828,"Lauder's",6,1750,11.18,16.77,6,100.62,10.5,2.77380654976
"19","S12643000016","2013-06-06T00:00:00.000",3973,"Mmdg Spirits / Ames","126A WELCH AVE","AMES",50014,"126A WELCH AVE
AMES 50014
(-93.650139, 42.022405)",85,"Story",1081380,"MISCELLANEOUS SCHNAPPS",65,"Jim Beam Brands",82627,"Dekuyper Cherry Pucker",12,1000,7.62,11.43,4,45.72,4,1.05668820943
"20","S16371500018","2013-12-18T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1081900,"MISC. AMERICAN CORDIALS & LIQUEURS",125,"Cedar Ridge Vineyards,LLC",74772,"Howdys Apple Pie",6,750,8.89,13.33,6,79.98,4.5,1.18877423561
